label,finalScore,finalCash,buildingsPlaced,tilesUsed,serviceShare,housingShare,commercialShare,cashReserve,housingSizeBias,industryAppetite,damPolicy,drainagePolicy,olympicsIntent,slumUpgrades,expansionTiming,twistOrder,treasureTile,treasureHit,preparedFlood,pandemicMet,olympicsQualified,industryPowerShare,industryWaterShare
random,2090,116.0,140,140,0.503,0.200,0.181,0.116,small,small,never,full,opportunistic,1,late,pandemic|immigration|flood,0,4,true,true,false,true,0.000,0.000
random,1865,13.3,123,123,0.575,0.151,0.219,0.055,mixed,small,never,partial,committed,4,spread,pandemic|flood|immigration,8,14,true,true,false,true,0.000,0.030
random,2280,509.3,75,75,0.723,0.041,0.234,0.002,large,large,never,none,opportunistic,3,year0,flood|immigration|pandemic,8,1,false,false,false,true,0.000,0.000
random,744,150.5,116,116,0.335,0.161,0.325,0.180,medium,none,after-flood,full,committed,1,year0,flood|pandemic|immigration,4,15,false,true,false,true,0.000,0.000
random,-546,253.0,103,103,0.318,0.358,0.172,0.152,large,medium,early,partial,committed,3,year0,pandemic|immigration|flood,10,3,false,true,false,true,0.000,0.000
random,751,665.8,89,89,0.232,0.069,0.341,0.358,mixed,large,after-flood,none,ignore,2,year0,pandemic|immigration|flood,0,3,true,true,false,false,0.000,0.000
random,1423,169.0,117,117,0.453,0.098,0.114,0.335,large,none,early,full,committed,1,spread,immigration|pandemic|flood,8,14,true,true,false,true,0.000,0.000
random,1685,70.5,136,136,0.494,0.137,0.166,0.202,medium,small,after-flood,partial,opportunistic,2,spread,immigration|flood|pandemic,5,12,true,true,false,true,0.000,0.095
random,-1650,127.8,103,103,0.300,0.264,0.318,0.118,mixed,small,never,none,committed,1,spread,flood|pandemic|immigration,10,5,false,false,false,false,0.000,0.000
random,31,29.0,106,106,0.316,0.373,0.154,0.157,medium,large,never,partial,opportunistic,1,late,pandemic|flood|immigration,2,4,false,true,false,false,0.000,0.000
random,2244,237.5,109,109,0.402,0.079,0.252,0.267,large,large,early,full,opportunistic,4,year0,immigration|pandemic|flood,8,3,true,true,false,true,0.000,0.117
